id;start_date;end_date;language
1;2020-07-09T19:19:10;2020-07-09T17:09:25;SPANISH
2;2020-07-09T00:09:21;2020-07-09T19:13:46;SPANISH
3;2020-07-09T15:04:40;2020-07-09T01:38:49;FRENCH
4;2020-07-09T06:22:11;2020-07-09T17:53:37;FRENCH
5;2020-07-09T15:52:29;2020-07-09T20:39:28;FRENCH
6;2020-07-09T09:44:50;2020-07-09T21:53:04;FRENCH
7;2020-07-09T11:30:10;2020-07-09T05:21:01;FRENCH
8;2020-07-09T10:26:23;2020-07-09T20:42:31;SPANISH
9;2020-07-09T09:07:32;2020-07-09T05:48:55;SPANISH
10;2020-07-09T17:19:36;2020-07-09T03:54:06;SPANISH
